iter	Passed	Remaining
0	2	2090
1	3	1875
2	5	1861
3	7	1920
4	9	1947
5	11	1897
6	13	1866
7	15	1964
8	18	1996
9	20	2035
10	22	2009
11	24	1976
12	25	1949
13	27	1923
14	29	1927
15	31	1917
16	32	1899
17	34	1884
18	36	1872
19	38	1867
20	40	1906
21	44	1967
22	45	1952
23	47	1937
24	49	1923
25	51	1910
26	53	1911
27	54	1904
28	56	1892
29	58	1882
30	60	1883
31	61	1856
32	63	1847
33	64	1839
34	65	1805
35	67	1797
36	68	1790
37	70	1793
38	72	1790
39	75	1802
40	77	1802
41	79	1803
42	80	1797
43	81	1778
44	82	1760
45	84	1755
46	86	1755
47	88	1751
48	90	1751
49	91	1747
50	93	1742
51	95	1738
52	97	1733
53	98	1729
54	100	1725
55	101	1711
56	102	1699
57	104	1704
58	106	1696
59	108	1693
60	109	1690
61	110	1673
62	112	1671
63	114	1668
64	115	1665
65	117	1663
66	119	1661
67	121	1662
68	122	1659
69	124	1656
70	126	1653
71	128	1650
72	129	1647
73	131	1645
74	133	1642
75	135	1645
76	137	1649
77	139	1647
78	141	1644
79	142	1641
80	144	1638
81	146	1635
82	147	1632
83	149	1630
84	151	1632
85	153	1632
86	155	1629
87	156	1626
88	158	1624
89	160	1621
90	162	1619
91	163	1616
92	164	1607
93	166	1609
94	168	1608
95	170	1608
96	172	1606
97	174	1603
98	175	1601
99	177	1598
100	178	1591
101	180	1588
102	182	1588
103	184	1586
104	185	1585
105	187	1584
106	189	1581
107	191	1579
108	192	1576
109	194	1574
110	196	1573
111	198	1571
112	199	1569
113	202	1574
114	204	1572
115	205	1569
116	207	1566
117	209	1564
118	211	1563
119	212	1560
120	213	1551
121	215	1550
122	217	1548
123	218	1546
124	220	1545
125	222	1543
126	224	1541
127	226	1541
128	228	1540
129	230	1539
130	232	1540
131	233	1538
132	236	1539
133	238	1542
134	240	1540
135	242	1539
136	244	1537
137	245	1535
138	247	1533
139	249	1530
140	250	1528
141	252	1526
142	254	1524
143	256	1524
144	257	1518
145	259	1516
146	259	1508
147	261	1506
148	263	1504
149	265	1504
150	267	1503
151	269	1501
152	270	1498
153	272	1498
154	274	1495
155	276	1493
156	277	1491
157	279	1489
158	281	1486
159	282	1481
160	283	1479
161	285	1476
162	287	1478
163	289	1476
164	291	1473
165	292	1468
166	293	1466
167	295	1464
168	297	1464
169	299	1463
170	301	1460
171	303	1459
